Zaman (sn),Voltaj (V),Label
38.2686,1.6593,1
38.2686,1.6568,1
38.2686,1.6536,1
38.2686,1.6504,1
38.2687,1.6456,1
38.2687,1.6423,1
38.2687,1.6391,1
38.2687,1.6343,1
38.2687,1.6327,1
38.2687,1.6319,1
38.2687,1.6335,1
38.2688,1.6375,1
38.2688,1.6440,1
38.2688,1.6488,1
38.2688,1.6536,1
38.2688,1.6585,1
38.2688,1.6625,1
38.2689,1.6665,1
38.2689,1.6673,1
38.2689,1.6657,1
38.2689,1.6609,1
38.2689,1.6560,1
38.2689,1.6520,1
38.2689,1.6456,1
38.2690,1.6407,1
38.2690,1.6375,1
38.2690,1.6343,1
38.2690,1.6335,1
38.2690,1.6343,1
38.2691,1.6359,1
38.2691,1.6407,1
38.2691,1.6440,1
38.2691,1.6472,1
38.2691,1.6520,1
38.2691,1.6560,1
38.2692,1.6585,1
38.2692,1.6609,1
38.2692,1.6593,1
38.2692,1.6601,1
38.2692,1.6601,1
38.2692,1.6585,1
38.2692,1.6568,1
38.2693,1.6528,1
38.2693,1.6504,1
38.2693,1.6456,1
38.2693,1.6423,1
38.2693,1.6391,1
38.2693,1.6383,1
38.2694,1.6359,1
38.2694,1.6351,1
38.2694,1.6367,1
38.2694,1.6399,1
38.2694,1.6448,1
38.2694,1.6504,1
38.2694,1.6568,1
38.3258,1.6609,1
38.3258,1.6641,1
38.3259,1.6665,1
38.3259,1.6673,1
38.3259,1.6617,1
38.3259,1.6577,1
38.3259,1.6633,1
38.3259,1.6560,1
38.3259,1.6504,1
38.3260,1.6448,1
38.3260,1.6407,1
38.3260,1.6391,1
38.3260,1.6407,1
38.3260,1.6399,1
38.3261,1.6464,1
38.3261,1.6488,1
38.3261,1.6423,1
38.3261,1.6464,1
38.3261,1.6504,1
38.3261,1.6528,1
38.3262,1.6568,1
38.3262,1.6593,1
38.3262,1.6601,1
38.3262,1.6617,1
38.3262,1.6609,1
38.3262,1.6609,1
38.3262,1.6601,1
38.3263,1.6568,1
38.3263,1.6536,1
38.3263,1.6496,1
38.3263,1.6464,1
38.3263,1.6432,1
38.3263,1.6399,1
38.3264,1.6383,1
38.3264,1.6383,1
38.3264,1.6399,1
38.3264,1.6415,1
38.3264,1.6456,1
38.3264,1.6504,1
38.3264,1.6560,1
38.3265,1.6601,1
38.3265,1.6633,1
38.3265,1.6657,1
38.3265,1.6665,1
38.3265,1.6641,1
38.3265,1.6601,1
38.3266,1.6560,1
38.3266,1.6488,1
38.3266,1.6440,1
38.3266,1.6391,1
38.3266,1.6367,1
38.3266,1.6343,1
38.3267,1.6335,1
38.3267,1.6343,1
38.3267,1.6375,1
38.3267,1.6415,1
38.3267,1.6448,1
38.3267,1.6512,1
38.3268,1.6544,1
38.3268,1.6577,1
38.3268,1.6593,1
38.3268,1.6617,1
38.3268,1.6617,1
38.3268,1.6609,1
38.3268,1.6601,1
38.3269,1.6577,1
38.3269,1.6552,1
38.3269,1.6520,1
38.3269,1.6488,1
38.3269,1.6448,1
38.3269,1.6415,1
38.3270,1.6383,1
38.3270,1.6359,1
38.3270,1.6359,1
38.3270,1.6311,1
38.3270,1.6327,1
38.3270,1.6383,1
38.3271,1.6432,1
