Zaman (sn),Voltaj (V),Label
1.5293,1.6689,1
1.5335,1.6794,1
1.5335,1.6826,1
1.5336,1.6851,1
1.5336,1.6859,1
1.5336,1.6842,1
1.5336,1.6810,1
1.5336,1.6496,1
1.5336,1.6641,1
1.5336,1.6528,1
1.5370,1.6391,1
1.5370,1.6303,1
1.5370,1.6230,1
1.5370,1.6182,1
1.5370,1.6174,1
1.5370,1.6109,1
1.5371,1.6262,1
1.5404,1.6327,1
1.5405,1.6472,1
1.5405,1.6552,1
1.5405,1.6681,1
1.5405,1.6834,1
1.5405,1.6842,1
1.5405,1.6963,1
1.5437,1.6899,1
1.5437,1.6859,1
1.5438,1.6794,1
1.5438,1.6738,1
1.5438,1.6609,1
1.5438,1.6560,1
1.5473,1.6432,1
1.5473,1.6327,1
1.5473,1.6174,1
1.5474,1.5988,1
1.5474,1.6125,1
1.5474,1.6158,1
1.5474,1.6262,1
1.5474,1.6343,1
1.5518,1.6496,1
1.5519,1.6681,1
1.5519,1.6754,1
1.5519,1.6826,1
1.5519,1.6875,1
1.5519,1.6867,1
1.5520,1.6891,1
1.5520,1.7020,1
1.5520,1.6786,1
1.5554,1.6705,1
1.5554,1.6617,1
1.5554,1.6359,1
1.5554,1.6407,1
1.5555,1.6319,1
1.5555,1.6246,1
1.5555,1.6174,1
1.5590,1.6174,1
1.5590,1.6190,1
1.5590,1.6278,1
1.5591,1.6367,1
1.5591,1.6464,1
1.5591,1.6601,1
1.5591,1.6697,1
1.5629,1.6794,1
1.5629,1.6875,1
1.5629,1.6883,1
1.5629,1.6867,1
1.5629,1.6842,1
1.5630,1.6794,1
1.5630,1.6649,1
1.5630,1.6633,1
1.5676,1.6657,1
1.5676,1.6448,1
1.5676,1.6593,1
1.5676,1.6166,1
1.5676,1.6069,1
1.5676,1.6085,1
1.5677,1.6141,1
1.5677,1.6254,1
1.5677,1.6472,1
1.5714,1.6512,1
1.5715,1.6593,1
1.5715,1.6794,1
1.5715,1.6915,1
1.5715,1.6907,1
1.5715,1.6915,1
1.5715,1.6907,1
1.5715,1.6899,1
1.5752,1.6842,1
1.5753,1.6722,1
1.5753,1.6665,1
1.5753,1.6544,1
1.5753,1.6423,1
1.5753,1.6335,1
1.5754,1.6238,1
1.5754,1.6206,1
1.5793,1.6222,1
1.5793,1.6182,1
1.5793,1.6311,1
1.5793,1.6375,1
1.5793,1.6560,1
1.5794,1.6657,1
1.5794,1.6746,1
1.5794,1.6585,1
1.5841,1.6907,1
1.5842,1.6939,1
1.5842,1.6947,1
1.5842,1.6915,1
1.5842,1.6883,1
1.5842,1.6786,1
1.5842,1.6705,1
1.5843,1.6488,1
1.5843,1.6448,1
1.5881,1.6303,1
1.5881,1.6182,1
1.5881,1.6182,1
1.5882,1.6125,1
1.5882,1.6141,1
1.5882,1.6246,1
1.5882,1.6399,1
1.5882,1.6488,1
1.5920,1.6649,1
1.5921,1.6722,1
1.5921,1.6842,1
1.5921,1.6859,1
1.5921,1.6891,1
1.5921,1.6867,1
1.5921,1.6842,1
1.5922,1.6802,1
1.5962,1.6689,1
